Data;25384 - Índice de Atividade Econômica Regional - Goiás - IBCR-GO - com ajuste sazonal - Índice;28295 - Índice de emprego formal - Goiás - Índice
01/2003;102,54 ;-
02/2003;107,63 ;-
03/2003;109,38 ;-
04/2003;106,71 ;-
05/2003;99,52 ;-
06/2003;101,99 ;-
07/2003;101,13 ;-
08/2003;101,55 ;-
09/2003;101,65 ;-
10/2003;102,40 ;-
11/2003;100,70 ;-
12/2003;101,14 ;-
01/2004;105,38 ;93,78
02/2004;106,85 ;94,84
03/2004;108,53 ;96,35
04/2004;107,26 ;98,17
05/2004;106,60 ;99,61
06/2004;107,48 ;100,60
07/2004;107,28 ;101,65
08/2004;107,87 ;102,69
09/2004;108,94 ;103,45
10/2004;108,88 ;103,84
11/2004;108,70 ;103,86
12/2004;108,57 ;101,17
01/2005;110,78 ;101,68
02/2005;115,12 ;102,71
03/2005;118,83 ;103,64
04/2005;119,55 ;105,44
05/2005;109,66 ;106,60
06/2005;110,90 ;107,63
07/2005;111,55 ;108,45
08/2005;110,50 ;109,54
09/2005;109,37 ;110,28
10/2005;110,66 ;110,32
11/2005;111,26 ;109,91
12/2005;112,41 ;108,01
01/2006;114,15 ;109,35
02/2006;112,13 ;110,66
03/2006;111,77 ;111,54
04/2006;113,43 ;112,96
05/2006;114,72 ;113,34
06/2006;114,59 ;113,93
07/2006;115,25 ;115,02
08/2006;116,17 ;115,59
09/2006;116,91 ;116,17
10/2006;118,29 ;116,75
11/2006;119,09 ;116,20
12/2006;120,23 ;113,34
01/2007;121,54 ;115,48
02/2007;115,25 ;117,02
03/2007;115,60 ;118,52
04/2007;116,16 ;119,99
05/2007;121,02 ;121,61
06/2007;120,23 ;122,97
07/2007;120,20 ;123,70
08/2007;123,16 ;124,74
09/2007;125,33 ;125,57
10/2007;126,49 ;126,07
11/2007;127,69 ;125,10
12/2007;127,89 ;122,84
01/2008;127,64 ;124,91
02/2008;127,01 ;127,08
03/2008;127,83 ;128,84
04/2008;127,53 ;131,41
05/2008;131,98 ;132,66
06/2008;132,38 ;134,79
07/2008;132,71 ;135,73
08/2008;131,70 ;136,92
09/2008;130,78 ;138,00
10/2008;131,48 ;137,74
11/2008;130,55 ;136,88
12/2008;131,89 ;131,96
01/2009;131,58 ;132,55
02/2009;132,83 ;134,20
03/2009;133,76 ;135,80
04/2009;134,02 ;138,57
05/2009;131,79 ;139,74
06/2009;131,52 ;141,34
07/2009;132,89 ;142,32
08/2009;133,59 ;143,65
09/2009;133,92 ;144,69
10/2009;132,98 ;145,39
11/2009;134,57 ;145,23
12/2009;135,29 ;140,85
01/2010;139,99 ;143,06
02/2010;144,43 ;145,43
03/2010;144,59 ;148,26
04/2010;143,57 ;151,43
05/2010;140,17 ;153,48
06/2010;135,17 ;155,09
07/2010;139,38 ;156,42
08/2010;140,94 ;157,83
09/2010;142,91 ;158,03
10/2010;145,22 ;157,89
11/2010;144,74 ;157,97
12/2010;144,34 ;154,83
01/2011;146,04 ;157,31
02/2011;150,02 ;159,94
03/2011;147,55 ;161,51
04/2011;148,44 ;163,85
05/2011;149,54 ;166,10
06/2011;151,78 ;167,77
07/2011;151,71 ;169,01
08/2011;147,96 ;170,52
09/2011;150,95 ;171,67
10/2011;149,86 ;171,13
11/2011;153,34 ;169,64
12/2011;154,15 ;166,31
01/2012;148,79 ;168,18
02/2012;151,71 ;170,37
03/2012;153,56 ;172,93
04/2012;156,07 ;176,15
05/2012;160,16 ;177,97
06/2012;159,51 ;179,15
07/2012;162,20 ;180,17
08/2012;159,58 ;181,18
09/2012;158,60 ;181,79
10/2012;161,38 ;181,89
11/2012;160,09 ;180,81
12/2012;159,75 ;177,46
01/2013;164,33 ;178,92
02/2013;162,59 ;181,26
03/2013;164,48 ;183,35
04/2013;164,90 ;186,95
05/2013;164,37 ;188,27
06/2013;163,08 ;189,91
07/2013;167,75 ;190,62
08/2013;165,66 ;191,40
09/2013;166,50 ;192,63
10/2013;165,39 ;192,65
11/2013;167,21 ;191,45
12/2013;170,79 ;187,63
01/2014;165,70 ;188,65
02/2014;167,46 ;191,12
03/2014;167,88 ;191,70
04/2014;168,33 ;193,79
05/2014;170,33 ;195,12
06/2014;170,26 ;195,95
07/2014;171,83 ;196,77
08/2014;172,52 ;197,67
09/2014;171,04 ;198,40
10/2014;171,23 ;198,00
11/2014;170,46 ;197,08
12/2014;167,90 ;192,00
01/2015;169,94 ;192,21
02/2015;165,86 ;193,26
03/2015;167,01 ;194,62
04/2015;164,95 ;195,20
05/2015;167,15 ;195,62
06/2015;166,15 ;196,08
07/2015;162,90 ;195,83
08/2015;164,76 ;195,88
09/2015;164,50 ;195,24
10/2015;164,88 ;193,75
11/2015;165,28 ;192,06
12/2015;164,04 ;188,21
01/2016;162,16 ;188,20
02/2016;162,07 ;188,74
03/2016;158,90 ;189,46
04/2016;162,25 ;190,47
05/2016;163,05 ;190,68
06/2016;162,96 ;191,38
07/2016;161,44 ;191,22
08/2016;162,74 ;191,45
09/2016;162,34 ;190,85
10/2016;161,82 ;189,13
11/2016;159,61 ;187,70
12/2016;160,55 ;185,13
01/2017;161,03 ;186,12
02/2017;165,67 ;187,43
03/2017;166,04 ;188,28
04/2017;164,72 ;189,58
05/2017;164,71 ;190,90
06/2017;165,13 ;191,84
07/2017;173,34 ;192,77
08/2017;164,41 ;193,26
09/2017;164,99 ;192,82
10/2017;165,15 ;192,62
11/2017;166,56 ;191,69
12/2017;164,27 ;189,41
01/2018;165,79 ;190,48
02/2018;164,00 ;191,51
03/2018;164,98 ;192,65
04/2018;163,21 ;194,11
05/2018;158,79 ;194,36
06/2018;165,33 ;194,93
07/2018;166,33 ;195,75
08/2018;168,07 ;196,67
09/2018;169,29 ;197,35
10/2018;168,78 ;196,86
11/2018;168,21 ;195,95
12/2018;172,38 ;193,68
01/2019;169,89 ;194,52
02/2019;165,87 ;195,74
03/2019;167,22 ;196,27
04/2019;161,67 ;197,38
05/2019;170,11 ;197,93
06/2019;170,67 ;198,32
07/2019;171,04 ;198,77
08/2019;169,66 ;199,49
09/2019;171,30 ;200,26
10/2019;174,65 ;200,40
11/2019;176,21 ;199,67
12/2019;171,61 ;197,12
01/2020;173,45 ;-
02/2020;169,77 ;-
03/2020;166,95 ;-
04/2020;155,61 ;-
05/2020;163,94 ;-
06/2020;165,43 ;-
07/2020;164,36 ;-
08/2020;170,42 ;-
09/2020;173,55 ;-
10/2020;172,61 ;-
11/2020;176,72 ;-
12/2020;173,64 ;-
01/2021;168,18 ;-
02/2021;168,94 ;-
03/2021;172,36 ;-
04/2021;165,39 ;-
05/2021;178,28 ;-
06/2021;176,10 ;-
07/2021;174,03 ;-
08/2021;175,31 ;-
09/2021;176,45 ;-
10/2021;175,73 ;-
11/2021;180,82 ;-
12/2021;178,27 ;-
01/2022;180,87 ;-
02/2022;191,24 ;-
03/2022;205,89 ;-
04/2022;188,44 ;-
05/2022;179,40 ;-
06/2022;175,48 ;-
07/2022;180,28 ;-
08/2022;173,29 ;-
09/2022;175,98 ;-
10/2022;173,05 ;-
11/2022;180,95 ;-
12/2022;174,04 ;-
01/2023;188,27 ;-
02/2023;202,04 ;-
03/2023;219,88 ;-
04/2023;203,61 ;-
05/2023;190,28 ;-
06/2023;185,01 ;-
07/2023;205,09 ;-
08/2023;185,91 ;-
09/2023;183,59 ;-
10/2023;180,67 ;-
11/2023;192,57 ;-
12/2023;187,52 ;-
01/2024;200,01 ;-
02/2024;206,03 ;-
03/2024;224,49 ;-
04/2024;203,99 ;-
05/2024;199,85 ;-
06/2024;191,46 ;-
07/2024;201,63 ;-
08/2024;190,35 ;-
09/2024;193,29 ;-
10/2024;187,95 ;-
11/2024;201,42 ;-
Fonte;BCB-Depec;MTb
